country,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GNP.PCAP.CD,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.MMRT,SH.XPD.CHEX.GD.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,IT.NET.SECR.P6,SP.URB.TOTL.IN.ZS,SL.EMP.VULN.ZS,SP.POP.DPND,SP.POP.GROW,EN.ATM.PM25.MC.M3,EN.GHG.ALL.PC.CE.AR5
Afghanistan,5.894340263720563,13.4498227120978,5.91350300563827,15.92840004,60,6.255750041753367,14.9857626,3.910021002757473,66.035,4.84,3.7786868944111807,25.4730529631167,81.4636847215318,83.8361728436287,2.13559384981397,3.6362249966897453,-0.24536156651437996
Angola,4.572672844492146,35.7012470046254,7.882314918980268,37.88589859,66,5.209486152841421,2.54692864,3.4965075614664802,64.617,5.124,3.694309433675703,69.8515032220457,66.3095743545771,90.0552252752265,3.08065530722915,2.9911000138681336,0.6194929464867851
Albania,4.034134210868622,23.160711973189,9.07566546864958,83.13559161,97,1.9459101490553132,7.05240345,2.1162555148025524,79.602,1.348,7.2366996099704455,58.2106086137857,46.7326588368579,50.0239189058889,-1.64410790425763,2.741749494340514,1.1022306266672777
Andorra,0.6917312596586626,12.4282261796617,10.777288232789331,94.21499634,98,2.3978952727983707,7.69928026,0.9162907318741551,84.041,1.082,9.590048682175823,88.8201609217082,11.2062097881447,38.2484697192491,1.43374756867515,2.184141800883498,1.7804935644641222
United Arab Emirates,0.8741117879956665,45.4007042021104,10.841539776191796,100,96,1.0986122886681098,4.97095108,1.3862943611198906,82.909,1.2,7.659011533441759,85.6680699002526,1.60374551990489,22.0026623838262,3.97717097504667,4.046321905161627,3.1887168435663176
Argentina,2.418011291103538,25.1722105252735,9.466531777336593,89.22897166,66,3.4965075614664802,10.2695179,2.1041341542702074,77.395,1.5,8.603591322724803,92.1945132257907,22.4431470253428,52.4243366823125,0.286976121920089,2.663512631348974,2.115476765509632
Armenia,2.8464430420944646,22.8800961616671,8.83200393125627,79.99663036,94,2.9444389791664403,9.32119179,2.186051276738094,77.4658536585366,1.9,7.070729524299886,65.6956882008852,33.974477975018,48.7129653645231,-0.165163937436499,3.351770080501339,1.286029783673845
Antigua and Barbuda,1.4883165070085025,19.2141808779566,9.915910072534686,72.12409973,97,3.5553480614894135,3.91348195,1.9740810260220096,77.598,1.578,6.689251809550056,24.4500156687422,19.2520697352434,41.7566725911073,0.511400156215609,2.1301480770584873,1.4925278720906021
Australia,1.6036515578345658,27.5167800860919,11.055956513994948,96.1160965,94,0.6931471805599453,10.39852047,1.1314021114911006,83.0512195121951,1.499,10.76987125194937,87.4866955653765,9.25879255732326,54.8330501591457,2.43450716351535,1.858598358204892,3.0927371546272124
Austria,1.114343627607454,26.0904948643547,10.931140752263744,95.33467117,87,1.791759469228055,11.15297318,1.0296194171811581,81.7926829268293,1.32,10.652093125631161,69.2265358276021,7.89303332366762,52.5940837665189,0.989464653969154,2.305955608769308,2.059284840032532
